dhf,dlf,whf,wlf,dha,dla,dhw,dlw,whw,wlw,hr
15.75,15.75,20.25,22.5,15.25,17,16.75,17,20,22.5,66.86666667
15.75,15.75,20.25,22.5,15.25,16.5,16.75,17,20,22.25,67.03333333
15.75,15.75,20.25,22.5,15.25,17,17,17,20.75,22.75,67.2
15.75,15.75,20.25,22.5,15.25,16.5,17,17,20.75,22.25,67.36666667
15.5,15.75,20.25,22.5,15.25,16.75,17,17,20,22.5,67.53333333
15.75,15.75,20.25,22.5,15.25,16.5,17,17,20,22.75,67.7
15.75,15.75,20.25,22.5,15.25,16.5,16.75,16.5,21,22.75,67.86666667
15.75,15.75,20.25,22.5,15.25,17,16.75,17,21,22.75,68.03333333
15.75,15.25,20.25,22.5,15.25,16.5,16.75,16.5,20,22.75,68.2
15.5,17,20.25,22.25,15.25,17,17,16.5,20,22.75,68.36666667
15.75,17.25,20.25,24,16,17,17,16.5,20.75,22.75,68.53333333
15.75,17.25,20.25,25,17.75,17,17,17,20.75,22.75,68.7
15.25,17.25,20.25,25,17.5,16.5,16.75,16.75,20.5,22.75,68.86666667
15.5,17.25,20,24.25,17,17,16.75,16.5,20,22.75,69.03333333
15.25,17.5,20,24.5,17.25,17,16.75,17,20,22.75,69.2
15.5,19.25,20.25,24.75,18,17,16.75,17,20.25,22.75,69.36666667
15.75,19.25,20.25,24.75,18.25,17,17,17,20.75,22.75,69.53333333
15.75,19.25,20.25,24.75,18.25,17.5,17,17,20.75,22.5,69.7
15.75,19.25,20.25,24.75,18.25,17.5,16.75,17,20.5,22.75,69.86666667
15.75,19.25,20.25,24.75,18.25,18,17,17,20,22.75,70.03333333
